Rank,Symbol,Close,State,Days_Since,Score,Last_Crossover_Type,SMA_20,SMA_50
1,RELIANCE,1309.0,BULLISH,15.0,85.0,BULLISH,1311.1150000000002,1303.16
2,HDFCBANK,708.75,BEARISH,29.0,14.5,BEARISH,722.0725,757.643
